CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click
-8496666001637960000,88763,321,1,0,0,0,2,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44,STNL to BP,0,0.04878048780487805,0.0
-8388548147625030000,147548,595,1,0,3,0,27,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73,BP to STH,1,0.6428571428571429,0.1111111111111111
-8309930230271000000,137634,651,50,0,1,0,3,0,14,0,1,0,0,0,45,0,0,0,1,0,0,0,0,68,STNL to BP,2,0.21428571428571427,0.3333333333333333
-8193341906487970000,467061,1848,57,0,10,0,101,0,63,1,0,0,0,0,46,0,0,0,2,0,1,0,0,231,BP to STH,3,1.6031746031746033,0.09900990099009901
-8173577555714020000,60679,162,16,0,0,0,1,0,13,0,1,3,0,0,10,0,0,0,1,0,0,0,0,30,STNL to BP,4,0.07692307692307693,0.0
-8010133615502340000,428598,1692,49,0,15,2,51,3,91,3,0,5,1,0,32,0,0,0,2,0,1,0,0,212,STNL to BP,5,0.5604395604395604,0.29411764705882354
-7957659082598930000,594529,2003,15,0,18,7,123,7,124,0,0,6,0,1,1,0,0,0,3,0,0,0,0,294,BP to STH,6,0.9919354838709677,0.14634146341463414
-7940613589745420000,190142,774,71,0,0,0,2,0,21,0,1,0,0,0,56,0,0,0,4,0,3,0,0,94,STNL to BP,7,0.09523809523809523,0.0
-7885468659499940000,16158,62,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,8,STNL to BP,8,,
-7641569739874650000,207884,799,5,0,0,0,63,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,103,STNL to BP,9,1.8,0.0
-7601140319469650000,826347,3235,42,0,8,0,233,0,126,0,0,3,0,1,32,0,0,0,4,0,0,0,0,409,STNL to BP,10,1.8492063492063493,0.034334763948497854
-7352511920385120000,103188,370,16,0,1,0,9,1,24,0,0,1,0,0,13,0,0,0,1,0,0,0,0,51,BP to STH,11,0.375,0.1111111111111111
-7242606166903490000,139470,510,6,0,0,0,14,0,49,0,0,5,0,0,0,0,0,0,1,0,0,0,0,69,STNL to BP,12,0.2857142857142857,0.0
-7240899418767690000,250441,932,11,0,1,0,28,0,84,0,0,0,0,0,0,0,0,0,3,0,2,0,0,124,STNL to BP,13,0.3333333333333333,0.03571428571428571
-7182712046965190000,94814,359,1,0,0,0,28,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47,STNL to BP,14,1.5555555555555556,0.0
-7169266210296410000,84890,353,3,0,0,0,11,0,27,1,0,1,0,0,0,0,0,0,1,0,0,0,0,42,STNL to BP,15,0.4074074074074074,0.0
-7152065285643840000,374131,1406,37,0,2,0,38,0,108,0,0,3,0,0,25,0,0,0,2,0,0,0,0,185,STNL to BP,16,0.35185185185185186,0.05263157894736842
-7013844965038690000,101063,401,8,0,0,0,10,0,32,0,0,1,0,0,0,0,0,0,1,1,0,0,0,50,BP to STH,17,0.3125,0.0
-6945035221464900000,323278,1247,7,0,0,0,94,0,59,0,0,0,0,0,0,0,0,0,2,0,5,0,0,160,STNL to BP,18,1.5932203389830508,0.0
-6840557186119600000,18200,70,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,9,STNL to BP,19,,
-6780295903086840000,68787,267,30,0,1,0,1,0,2,1,1,5,0,0,10,0,0,0,11,0,1,0,0,34,STNL to BP,20,0.5,1.0
-6777942753257000000,190195,682,52,0,7,0,10,1,24,0,0,0,0,0,48,0,0,0,1,0,1,0,0,94,STNL to BP,21,0.4166666666666667,0.7
-6385787825357890000,18173,76,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,9,STNL to BP,22,,
-6271950297166480000,68583,270,1,0,0,0,16,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,STNL to BP,23,0.9411764705882353,0.0
-6142628046751170000,244746,937,43,0,0,0,24,0,53,0,0,2,1,0,34,0,0,0,2,0,0,0,0,121,STNL to BP,24,0.4528301886792453,0.0
-6138895782748630000,498923,1964,75,0,1,1,59,1,110,1,0,0,0,0,69,0,0,0,3,0,2,0,0,247,STNL to BP,25,0.5363636363636364,0.01694915254237288
-6026085141324530000,365912,1385,11,1,9,0,28,0,130,0,0,2,0,0,0,1,0,0,3,0,0,0,1,181,STNL to BP,26,0.2153846153846154,0.32142857142857145
-6018330742315410000,412627,1613,94,0,1,0,9,0,99,1,0,0,1,0,85,0,0,0,2,0,0,0,0,204,STNL to BP,27,0.09090909090909091,0.1111111111111111
-5984988893924780000,139485,546,36,0,0,0,12,0,21,0,0,2,0,0,32,0,0,0,2,0,0,0,0,69,STNL to BP,28,0.5714285714285714,0.0
-5792939681589060000,335990,1499,155,1,1,0,1,0,8,0,0,0,0,0,148,0,0,0,1,0,0,0,0,166,BP to STH,29,0.125,1.0
